VenteID;Date;Client;Region;Produit;Categorie;Quantite;Prix_Unitaire;Remise_Pct;Montant_Total;Canal
T2-082;13/06/2024;Petit Hugo;Bretagne;Souris gaming;Informatique;5;89,0;0;445,0;Partenaire
T2-005;07/05/2024;Simon Nicolas;Nouvelle-Aquitaine;Clavier mécanique;Informatique;8;134,1;10;1072,8;En ligne
T2-041;03/04/2024;Simon Nicolas;Île-de-France;Chaise ergonomique;Mobilier;5;399,0;0;1995,0;En ligne
T2-070;26/06/2024;Petit Hugo;Nouvelle-Aquitaine;Bureau debout;Mobilier;2;521,55;5;1043,1;En ligne
T2-011;25/04/2024;Lambert Léa;Île-de-France;Smartphone;Électronique;6;629,1;10;3774,6;Partenaire
T2-046;02/06/2024;Dubois Camille;Île-de-France;Batterie externe;Accessoires;7;49,0;0;343,0;Magasin
T2-071;09/05/2024;Leroy Lucas;Île-de-France;Smartphone;Électronique;5;699,0;0;3495,0;En ligne
T2-067;09/05/2024;Dubois Camille;Île-de-France;Tablette;Électronique;7;404,1;10;2828,7;Magasin
T2-048;08/04/2024;Martin Sophie;Nouvelle-Aquitaine;Ordinateur portable;Informatique;4;899,0;0;3596,0;Partenaire
T2-012;11/06/2024;Moreau Emma;Bretagne;Batterie externe;Accessoires;3;49,0;0;147,0;En ligne
T2-101;19/06/2024;Dupont Thomas;Nouvelle-Aquitaine;Smartphone;Électronique;1;699,0;0;699,0;En ligne
T2-037;27/06/2024;Dubois Camille;Île-de-France;Ordinateur portable;Informatique;4;764,15;15;3056,6;En ligne
T2-085;31/05/2024;Petit Hugo;Occitanie;Tablette;Électronique;4;449,0;0;1796,0;Partenaire
T2-082;13/06/2024;Petit Hugo;Bretagne;Souris gaming;Informatique;5;89,0;0;445,0;Partenaire
T2-019;23/05/2024;Martin Sophie;Nouvelle-Aquitaine;Montre connectée;Électronique;2;269,1;10;538,2;Magasin
T2-001;30/05/2024;Petit Hugo;Occitanie;Smartphone;Électronique;5;664,05;5;3320,25;Magasin
T2-073;14/06/2024;Simon Nicolas;Nouvelle-Aquitaine;Tablette;Électronique;6;449,0;0;2694,0;Magasin
T2-027;02/04/2024;Simon Nicolas;Bretagne;Souris gaming;Informatique;5;80,1;10;400,5;En ligne
T2-106;10/06/2024;Petit Hugo;Bretagne;Chaise ergonomique;Mobilier;6;379,05;5;2274,3;En ligne
T2-054;16/05/2024;Dubois Camille;Occitanie;Souris gaming;Informatique;7;80,1;10;560,7;En ligne
T2-095;22/06/2024;Simon Nicolas;Nouvelle-Aquitaine;Clavier mécanique;Informatique;7;134,1;10;938,7;En ligne
T2-057;09/06/2024;Bernard Marie;Bretagne;Tablette;Électronique;4;449,0;0;1796,0;En ligne
T2-013;03/06/2024;Moreau Emma;Bretagne;Bureau debout;Mobilier;2;549,0;0;1098,0;Magasin
T2-032;17/04/2024;Michel Julie;Île-de-France;Tablette;Électronique;6;449,0;0;2694,0;Magasin
