VenteID,Date,Client,Region,Produit,Categorie,Quantite,Prix_Unitaire,Remise_Pct,Montant_Total,Canal,Commentaire,Source_Fichier
T3-001,2024-09-30,,Île-de-France,Ordinateur portable,Informatique,,854.05,5,6832.4,En ligne,,Système CRM Export
T3-002,2024-09-27,Martin Sophie,Occitanie,Tablette,Électronique,3.0,426.55,5,1279.65,Partenaire,,Système CRM Export
T3-003,2024-08-26,Lambert Léa,Auvergne-Rhône-Alpes,Smartphone,Électronique,7.0,699.0,0,4893.0,En ligne,,Système CRM Export
T3-004,2024-08-11,Lambert Léa,Île-de-France,Écouteurs,Électronique,5.0,129.0,0,645.0,magasin,,Système CRM Export
T3-005,2024-07-26,Leroy Lucas,Bretagne,Tablette,Électronique,4.0,449.0,0,1796.0,En ligne,,Système CRM Export
T3-006,2024-08-24,Petit Hugo,Bretagne,Tablette,Électronique,4.0,359.2,20,1436.8,En ligne,,Système CRM Export
T3-007,2024-09-03,,Île-de-France,Montre connectée,Électronique,7.0,239.2,20,,Magasin,,Système CRM Export
T3-008,2024-08-20,Dupont Thomas,Île-de-France,Smartphone,Électronique,1.0,699.0,0,699.0,En ligne,Retard signalé,Système CRM Export
T3-009,2024-07-14,Bernard Marie,Nouvelle-Aquitaine,Écouteurs,Électronique,3.0,103.2,20,309.6,Partenaire,,Système CRM Export
T3-010,2024-09-12,Leroy Lucas,Bretagne,Batterie externe,Accessoires,7.0,39.2,20,274.4,En ligne,,Système CRM Export
T3-011,2024-09-16,Lambert Léa,Bretagne,Chaise ergonomique,Mobilier,1.0,319.2,20,319.2,Magasin,,Système CRM Export
T3-012,2024-09-05,Michel Julie,Occitanie,Smartphone,Électronique,8.0,629.1,10,5032.8,En ligne,,Système CRM Export
T3-013,2024-08-22,DUBOIS CAMILLE,Bretagne,Chaise ergonomique,Mobilier,8.0,319.2,20,2553.6,En ligne,,Système CRM Export
T3-014,2024-08-31,Martin Sophie,Auvergne-Rhône-Alpes,Clavier mécanique,Informatique,6.0,141.55,5,849.3,Magasin,Livraison rapide,Système CRM Export
T3-015,2024-08-04,Lambert Léa,Nouvelle-Aquitaine,Ordinateur portable,Informatique,1.0,899.0,0,899.0,en ligne,,Système CRM Export
T3-016,2024-09-22,Petit Hugo,Île-de-France,Souris gaming,Informatique,1.0,84.55,5,84.55,Magasin,Livraison rapide,Système CRM Export
T3-017,2024-07-15,Dupont Thomas,Île-de-France,Bureau debout,Mobilier,8.0,494.1,10,3952.8,Magasin,,Système CRM Export
T3-018,2024-08-15,Bernard Marie,Île-de-France,Chaise ergonomique,Mobilier,4.0,399.0,0,1596.0,Magasin,,Système CRM Export
T3-019,2024-08-22,Michel Julie,Nouvelle-Aquitaine,Montre connectée,Électronique,5.0,239.2,20,1196.0,En ligne,,Système CRM Export
T3-020,2024-07-11,Michel Julie,Occitanie,Clavier mécanique,Informatique,5.0,149.0,0,745.0,Magasin,Livraison rapide,Système CRM Export
T3-021,2024-07-04,Simon Nicolas,Nouvelle-Aquitaine,Chaise ergonomique,Mobilier,1.0,359.1,10,359.1,Magasin,,Système CRM Export
T3-022,2024-09-17,MOREAU EMMA,Occitanie,Ordinateur portable,Informatique,6.0,899.0,0,5394.0,En ligne,,Système CRM Export
T3-023,2024-09-07,Petit Hugo,Auvergne-Rhône-Alpes,Smartphone,Électronique,2.0,664.05,5,1328.1,Magasin,,Système CRM Export
T3-024,2024-09-28,Lambert Léa,Bretagne,Bureau debout,Mobilier,5.0,439.2,20,2196.0,En ligne,Livraison rapide,Système CRM Export
T3-025,2024-09-13,Dubois Camille,Île-de-France,Souris gaming,Informatique,5.0,71.2,20,356.0,Magasin,,Système CRM Export
T3-026,2024-08-26,Michel Julie,Bretagne,Écouteurs,Électronique,1.0,129.0,0,129.0,Partenaire,Client satisfait,Système CRM Export
T3-027,2024-07-24,Leroy Lucas,Bretagne,Tablette,Électronique,6.0,359.2,20,2155.2,En ligne,,Système CRM Export
T3-028,2024-08-03,Lambert Léa,Occitanie,Souris gaming,Informatique,5.0,89.0,0,445.0,Magasin,Retour partiel,Système CRM Export
T3-029,2024-08-24,Michel Julie,Île-de-France,Smartphone,Électronique,7.0,559.2,20,3914.4,Partenaire,,Système CRM Export
T3-030,2024-07-27,Moreau Emma,Île-de-France,Clavier mécanique,Informatique,6.0,134.1,10,804.6,En ligne,,Système CRM Export
T3-031,2024-07-18,Moreau Emma,Île-de-France,Tablette,Électronique,2.0,404.1,10,,En ligne,,Système CRM Export
T3-032,2024-08-16,  SIMON NICOLAS  ,Auvergne-Rhône-Alpes,Souris gaming,Informatique,6.0,71.2,20,427.2,En ligne,,Système CRM Export
T3-033,2024-08-13,Moreau Emma,Nouvelle-Aquitaine,Smartphone,Électronique,2.0,699.0,0,1398.0,En ligne,,Système CRM Export
T3-034,2024-09-09,  Bernard Marie  ,Nouvelle-Aquitaine,Bureau debout,Mobilier,8.0,549.0,0,4392.0,Magasin,,Système CRM Export
T3-035,2024-09-22,Bernard Marie,Nouvelle-Aquitaine,Tablette,Électronique,7.0,449.0,0,3143.0,En ligne,,Système CRM Export
T3-036,2024-08-16,Bernard Marie,Bretagne,Bureau debout,Mobilier,7.0,439.2,20,3074.4,Magasin,,Système CRM Export
T3-037,2024-07-12,Lambert Léa,Nouvelle-Aquitaine,Tablette,Électronique,3.0,449.0,0,1347.0,Partenaire,Retour partiel,Système CRM Export
